freq,duration,purpose,c_dest,wstatus,unit,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,N1-3,PER,DOM,INAC_OTH,NR,LU	: u	66854 	34234 	22350 u	20197 u	38628 	43118 	: u	171112 	168028 	168710 	217138 	154102 
A,N1-3,PER,DOM,INAC_OTH,NR,LV	735364 	713868 	664272 	671661 	608495 	585681 	499014 	512744 	170072 	391574 	536035 	514626 	529350 
A,N1-3,PER,DOM,INAC_OTH,NR,ME	: 	: 	: 	: 	1089867 	1178233 	: 	: 	: 	: 	: 	: 	: 
A,N1-3,PER,DOM,INAC_OTH,NR,MK	: 	: 	: 	: 	: 	: 	: 	34462 	26574 u	38545 u	: 	: 	: 
A,N1-3,PER,DOM,INAC_OTH,NR,MT	330686 	321574 	339022 b	106974 	83630 	415493 	404375 	74637 	79423 	97917 	129985 	141166 	147866 
A,N1-3,PER,DOM,INAC_OTH,NR,NL	8533861 	7008241 	7112533 	6545422 	6290610 	6680322 	6667124 	7311695 	4964401 	8087742 	6835399 	6959488 	6668551 
A,N1-3,PER,DOM,INAC_OTH,NR,NO	: 	13484748 	16927114 	15688166 	15870591 	16578183 	24229635 	: 	: 	26735358 	26576556 	25834678 	7215906 
A,N1-3,PER,DOM,INAC_OTH,NR,PL	47242930 	50630835 	41937463 b	44086369 	48637419 	52558113 	55822067 	58370311 	43014993 	52036260 	59762123 	62210685 	62700981 
A,N1-3,PER,DOM,INAC_OTH,NR,PT	3412359 	5473800 	14733797 	4461173 	4524635 	12645534 	4605880 	5508396 	2701265 	3752895 	4699848 	19932619 	4538039 
A,N1-3,PER,DOM,INAC_OTH,NR,RO	3996799 	4079613 	4061812 	4258563 	4235680 	4640778 	4311526 	4480956 	2339528 	4014162 	4050929 	4550932 	4153324 
A,N1-3,PER,DOM,INAC_OTH,NR,RS	: 	: 	: 	: 	: 	: 	114927 u	: 	: 	: 	: 	: 	: 
A,N1-3,PER,DOM,INAC_OTH,NR,SE	: 	: 	30735810 	35077922 	34348522 	38512940 	38537468 	39246444 	60553200 	61539130 	68436433 	: 	69339961 
